Company,Year,ceo_pay_k,employees,lq_pay,m_pay,uq_pay
BP,2021,4457,,21450,50959,126334
BP,2020,1882,14000,18984,46933,98546
BP,2019,10371,,19108,55071,126085
BP,2024,5356,,27343,72678,143202
BP,2023,9209,,25535,66822,150704
BP,2022,10026,,23810,58440,146357
Centrica,2024,4322,,33500,55265,61121
Centrica,2021,875,,30172,36458,58333
Centrica,2020,1004,,31375,66933,71714
Centrica,2019,1186,,34882,40897,53909
Centrica,2023,8231,,41514,58029,68439
Centrica,2022,4490,,35073,57939,63705
Drax,2024,2864,,46292,75409,99772
Drax,2023,2862,,37541,61948,94359
Drax,2022,5377,,47370,68326,94770
Drax,2021,2374,,32722,53033,81336
Drax,2020,1900,,29237,49793,76968
Drax,2019,1164,,27569,45833,71716
National Grid,2025,6097,,54440,71802,94191
National Grid,2021,5072,6517,48657,62867,81548
National Grid,2022,6506,,48038,61834,80297
National Grid,2020,5322,6151,47849,61842,80614
National Grid,2024,6353,,54098,70388,92336
National Grid,2023,7247,,50493,65112,84466
Pennon Group,2025,803,,31002,41392,53977
Pennon Group,2020,2188,4853,25184,32221,43388
Pennon Group,2024,860,,29617,39071,50343
Pennon Group,2023,543,,27035,34871,45909
Pennon Group,2021,2851,,24803,33794,42843
Pennon Group,2022,1603,,26080,38207,44566
Royal Dutch Shell,2024,8615,,103390,141334,216048
Royal Dutch Shell,2021,6198,,65123,111912,170289
Royal Dutch Shell,2020,5197,,55584,90972,136007
Royal Dutch Shell,2019,8746,,59419,100755,161717
Royal Dutch Shell,2023,7940,,99599,136066,205155
Royal Dutch Shell,2022,9698,,72632,121847,192995
Severn Trent,2025,3268,,38900,50900,61900
Severn Trent,2022,3913,,34000,43500,52400
Severn Trent,2021,2808,7033,30500,36600,50100
Severn Trent,2020,2733,6796,32700,42100,51300
Severn Trent,2024,3183,,37100,47800,58300
Severn Trent,2023,3209,,34200,43900,52900
SSE,2025,3892,,40000,57000,75000
SSE,2022,4485,,33046,43793,61195
SSE,2021,3011,,32268,42295,59454
SSE,2020,2418,,29234,40908,54863
SSE,2023,4627,,34881,47864,65199
United Utilities,2025,1671,,41000,55000,69000
United Utilities,2022,3178,5866,35000,46000,59000
United Utilities,2021,2940,5354,34000,46000,58000
United Utilities,2020,2564,5302,33000,44000,56000
United Utilities,2024,1411,6169,39000,53000,66000
United Utilities,2023,2283,6171,37000,49000,61000
Wood Group,2023,2265,,52000,75000,99000
Wood Group,2022,2021,5601,47000,68000,93000
Wood Group,2021,1260,,45000,68000,86000
Wood Group,2020,1214,6240,42000,66000,80000
Wood Group,2019,1690,10106,35000,46000,68000
